"id","name","district_id","alt_names","longitude","latitude","elevation","population","deleted_at","created_at","updated_at","district_name","region_id","region_name"
1,"GOASO",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asunafo North",1,"Ahafo"
2,"KUKUOM",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asunafo South",1,"Ahafo"
3,"KENYASI",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asutifi North",1,"Ahafo"
4,"HWIDIEM",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asutifi South",1,"Ahafo"
5,"DUAYAW NKWANTA",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Tano North",1,"Ahafo"
6,"BECHEM",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Tano South",1,"Ahafo"
7,"FOMENA",7,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Adansi North",2,"Ashanti"
8,"NEW EDUBIASE",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Adansi South",2,"Ashanti"
9,"KODIE",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Afigya Kwabre South",2,"Ashanti"
10,"TEPA",10,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ahafo Ano North",2,"Ashanti"
11,"MANKRANSO",11,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ahafo Ano South West",2,"Ashanti"
12,"JACOBU",12,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Amansie Central",2,"Ashanti"
13,"MANSO NKWANTA",13,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Amansie West",2,"Ashanti"
14,"KONONGO",14,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asante Akim Central",2,"Ashanti"
15,"AGOGO",15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asante Akim North",2,"Ashanti"
16,"JUASO",16,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asante Akim South",2,"Ashanti"
17,"ASOKORE MAMPONG",17,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Asokore Mampong",2,"Ashanti"
18,"TWEDIE",18,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Atwima Kwanwoma",2,"Ashanti"
19,"NYINAHIN",19,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Atwima Mponua",2,"Ashanti"
20,"NKAWIE",20,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Atwima Nwabiagya",2,"Ashanti"
21,"BEKWAI",21,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Bekwai",2,"Ashanti"
22,"ASIWA",22,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Bosome Freho",2,"Ashanti"
23,"KUNTANSE",23,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Bosomtwe",2,"Ashanti"
24,"EJISU",24,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ejisu",2,"Ashanti"
25,"EJURA",25,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ejura Sekyedumase",2,"Ashanti"
26,"KUMASI",26,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kumasi",2,"Ashanti"
27,"MAMPONTENG",27,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kwabre East",2,"Ashanti"
